id,clean_title,author,publisher,year,language,category,tags,description,table_of_contents,cover_image_url,preview_page_count,preview_base_url,access_required,access_url,copyright_status,can_public_download
cdl-002772,三联 哈佛燕京 第二辑.代价论 一个社会学的新视角,,,,中文,culture-society,社会,,,,5,,true,,待核实,false
cdl-002773,三联 哈佛燕京 第二辑.境生象外 华夏审美与艺术特征考察,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002774,三联 哈佛燕京 第二辑.海德格尔哲学概论,,,,中文,culture-society,哲学,,,,5,,true,,待核实,false
cdl-002775,三联 哈佛燕京 第二辑.清末的新知识界,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002776,三联 哈佛燕京 第二辑.现象学及其效应 胡塞尔与当代德国哲学,,,,中文,culture-society,哲学,,,,5,,true,,待核实,false
cdl-002777,三联 哈佛燕京 第二辑.走出男权传统的藩篱,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002778,三联 哈佛燕京 第二辑.金元全真道内丹心性学,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002779,三联 哈佛燕京 第五辑.京剧 跷和中国的性别关系,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002780,三联 哈佛燕京 第五辑.传统与变迁 江浙农民的社会心理及近代以来的嬗变,,,,中文,culture-society,社会,,,,5,,true,,待核实,false
cdl-002781,三联 哈佛燕京 第五辑.奎因哲学研究,,,,中文,culture-society,哲学,,,,5,,true,,待核实,false
cdl-002782,三联 哈佛燕京 第五辑.神秘主义诗学,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002783,三联 哈佛燕京 第五辑.稷下学研究 中国古代的思想自由与百家争鸣,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002784,三联 哈佛燕京 第五辑.选举社会及其终结 秦汉至晚清历史的一种社会学阐释,,,,中文,church-history,历史,,,,5,,true,,待核实,false
cdl-002786,三联 哈佛燕京 第八辑.从自由主义到后自由主义,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002785,三联 哈佛燕京 第八辑.从自由主义到后自由主义 应奇,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002787,三联 哈佛燕京 第八辑.多视角看江南经济史 1250-1850,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002788,三联 哈佛燕京 第八辑.推敲 自我 小说在18世纪的英国,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002789,三联 哈佛燕京 第八辑.政治儒学 当代儒学的转向、特质与发展,,,,中文,culture-society,政治,,,,5,,true,,待核实,false
cdl-002790,三联 哈佛燕京 第六辑.中国文论与西方诗学,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002791,三联 哈佛燕京 第六辑.为了忘却的集体记忆 解读50篇文革小说,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002792,三联 哈佛燕京 第六辑.人类的四分之一 马尔萨斯的神话与中国的现实,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002793,三联 哈佛燕京 第六辑.古道西风 考古新发现与中西文化交流,,,,中文,culture-society,文化,,,,5,,true,,待核实,false
cdl-002794,三联 哈佛燕京 第六辑.走进分析哲学,,,,中文,culture-society,哲学,,,,5,,true,,待核实,false
cdl-002795,三联 哈佛燕京 第六辑.选择 接受与疏离 王国维接受叔本华 朱光潜接受克罗齐对比研究,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002796,三联 哈佛燕京 第四辑.中国史前考古学史研究pdf,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002797,三联 哈佛燕京 第四辑.儒学地域化的近代形态,,,,中文,other,,,,,5,,true,,待核实,false
cdl-002798,三联 哈佛燕京 第四辑.历史哲学的重建,,,,中文,church-history,历史,,,,5,,true,,待核实,false
